variavel,importancia
tracado_via_Reta;Interseção de Vias;Desvio Temporário,5.317990623178778e-06
tracado_via_Viaduto;Rotatória;Curva;Em Obras,5.289092114503133e-06
tracado_via_Interseção de Vias;Rotatória;Em Obras,5.241895585047542e-06
tracado_via_Ponte;Reta;Interseção de Vias,5.215019748252019e-06
tracado_via_Reta;Interseção de Vias;Desvio Temporário;Em Obras,5.15525518914687e-06
tracado_via_Curva;Desvio Temporário;Declive,5.143361278939208e-06
tracado_via_Interseção de Vias;Rotatória;Curva,4.9905145035236685e-06
tracado_via_Retorno Regulamentado;Interseção de Vias;Curva,4.923426607627728e-06
tracado_via_Túnel;Curva,4.9160074289102736e-06
tracado_via_Reta;Interseção de Vias;Rotatória;Declive,4.869558990380019e-06
tracado_via_Ponte;Reta;Aclive,4.830231457856427e-06
tracado_via_Desvio Temporário;Reta;Declive;Em Obras,4.809539959322616e-06
tracado_via_Reta;Em Obras;Desvio Temporário;Ponte,4.8027991918485315e-06
tracado_via_Curva;Viaduto;Aclive;Interseção de Vias,4.747217447247105e-06
tracado_via_Retorno Regulamentado;Reta;Em Obras,4.722245742381423e-06
tracado_via_Ponte;Reta;Declive;Interseção de Vias,4.674859718646468e-06
tracado_via_Declive;Interseção de Vias;Rotatória,4.620464512952424e-06
tracado_via_Declive;Rotatória;Reta;Retorno Regulamentado,4.582936462525314e-06
tracado_via_Interseção de Vias;Viaduto;Curva;Aclive,4.551292154953862e-06
tracado_via_Curva;Viaduto;Retorno Regulamentado,4.486070424541174e-06
tracado_via_Em Obras;Desvio Temporário;Curva,4.4773228278392735e-06
tracado_via_Desvio Temporário;Aclive;Reta;Em Obras,4.430348555031883e-06
tracado_via_Reta;Interseção de Vias;Rotatória;Retorno Regulamentado,4.2242304794225384e-06
tracado_via_Viaduto;Rotatória;Retorno Regulamentado;Interseção de Vias,4.192106910815602e-06
tracado_via_Desvio Temporário;Curva,4.1118607927186e-06
tracado_via_Reta;Aclive;Rotatória,4.10346333592242e-06
tracado_via_Reta;Interseção de Vias;Declive;Desvio Temporário;Em Obras,4.053131751855893e-06
tracado_via_Retorno Regulamentado;Rotatória;Interseção de Vias;Reta,3.979866866003466e-06
tracado_via_Rotatória;Reta;Interseção de Vias;Declive,3.97207872740071e-06
tracado_via_Túnel,3.936216826921048e-06
tracado_via_Reta;Interseção de Vias;Viaduto;Em Obras,3.934216690934683e-06
tracado_via_Declive;Interseção de Vias;Viaduto;Ponte,3.91154040575378e-06
tracado_via_Rotatória;Desvio Temporário;Em Obras,3.878962605632461e-06
